Country,Commodity,Year,Variable,Value,Region
Belgium,barley,2020,Harvested area,43.97,Western Europe
Belgium,barley,2021,Harvested area,38.25,Western Europe
Belgium,barley,2022,Harvested area,46.45,Western Europe
Belgium,barley,2023,Harvested area,48.28,Western Europe
Belgium,barley,2024,Harvested area,45.09666666666668,Western Europe
Belgium,oats,2015,Harvested area,3.94,Western Europe
Belgium,oats,2016,Harvested area,3.67,Western Europe
Belgium,oats,2017,Harvested area,4.04,Western Europe
Belgium,oats,2018,Harvested area,3.47,Western Europe
Belgium,oats,2019,Harvested area,3.86,Western Europe
Belgium,oats,2020,Harvested area,3.98,Western Europe
Belgium,oats,2021,Harvested area,3.61,Western Europe
Belgium,oats,2022,Harvested area,3.4,Western Europe
Belgium,oats,2023,Harvested area,2.89,Western Europe
Belgium,oats,2024,Harvested area,3.6233333333333326,Western Europe
Belgium,soy,2015,Harvested area,0.0,Western Europe
Belgium,soy,2016,Harvested area,0.0,Western Europe
Belgium,soy,2017,Harvested area,0.0,Western Europe
Belgium,soy,2018,Harvested area,0.0,Western Europe
Belgium,soy,2019,Harvested area,0.0,Western Europe
Belgium,soy,2020,Harvested area,0.0,Western Europe
Belgium,soy,2021,Harvested area,0.0,Western Europe
Belgium,soy,2022,Harvested area,0.0,Western Europe
Belgium,soy,2023,Harvested area,0.0,Western Europe
Belgium,soy,2024,Harvested area,0.0,Western Europe
Belgium,sunflower,2015,Harvested area,0.0,Western Europe
Belgium,sunflower,2016,Harvested area,0.0,Western Europe
Belgium,sunflower,2017,Harvested area,0.0,Western Europe
Belgium,sunflower,2018,Harvested area,0.0,Western Europe
Belgium,sunflower,2019,Harvested area,0.0,Western Europe
Belgium,sunflower,2020,Harvested area,0.0,Western Europe
Belgium,sunflower,2021,Harvested area,0.0,Western Europe
Belgium,sunflower,2022,Harvested area,0.0,Western Europe
Belgium,sunflower,2023,Harvested area,0.0,Western Europe
Belgium,sunflower,2024,Harvested area,0.0,Western Europe
Belgium,wine,2015,Harvested area,,Western Europe
Belgium,wine,2016,Harvested area,,Western Europe
Belgium,wine,2017,Harvested area,,Western Europe
Belgium,wine,2018,Harvested area,,Western Europe
Belgium,wine,2019,Harvested area,,Western Europe
Belgium,wine,2020,Harvested area,,Western Europe
Belgium,wine,2021,Harvested area,,Western Europe
Belgium,wine,2022,Harvested area,,Western Europe
Bulgaria,apples,2015,Harvested area,4.77,South Eastern Europe
Bulgaria,apples,2016,Harvested area,4.11,South Eastern Europe
Bulgaria,apples,2017,Harvested area,3.97,South Eastern Europe
Bulgaria,apples,2018,Harvested area,3.98,South Eastern Europe
Bulgaria,apples,2019,Harvested area,4.14,South Eastern Europe
Bulgaria,apples,2020,Harvested area,3.56,South Eastern Europe
Bulgaria,apples,2021,Harvested area,3.78,South Eastern Europe
Bulgaria,apples,2022,Harvested area,3.72,South Eastern Europe
Bulgaria,apples,2023,Harvested area,3.56,South Eastern Europe
Bulgaria,barley,2015,Harvested area,175.96,South Eastern Europe
Bulgaria,barley,2016,Harvested area,159.83,South Eastern Europe
Bulgaria,barley,2017,Harvested area,128.36,South Eastern Europe
Bulgaria,barley,2018,Harvested area,103.57,South Eastern Europe
Bulgaria,barley,2019,Harvested area,112.03,South Eastern Europe
Bulgaria,barley,2020,Harvested area,130.76,South Eastern Europe
Bulgaria,barley,2021,Harvested area,126.31,South Eastern Europe
Bulgaria,barley,2022,Harvested area,122.42,South Eastern Europe
Bulgaria,barley,2023,Harvested area,149.0,South Eastern Europe
Bulgaria,barley,2024,Harvested area,188.0,South Eastern Europe
Bulgaria,oats,2015,Harvested area,11.08,South Eastern Europe
Bulgaria,oats,2016,Harvested area,15.32,South Eastern Europe
Bulgaria,oats,2017,Harvested area,13.27,South Eastern Europe
Bulgaria,oats,2018,Harvested area,11.34,South Eastern Europe
Bulgaria,oats,2019,Harvested area,12.15,South Eastern Europe
Bulgaria,oats,2020,Harvested area,13.4,South Eastern Europe
Bulgaria,oats,2021,Harvested area,9.94,South Eastern Europe
Bulgaria,oats,2022,Harvested area,11.44,South Eastern Europe
Bulgaria,oats,2023,Harvested area,13.0,South Eastern Europe
Bulgaria,oats,2024,Harvested area,25.0,South Eastern Europe
Bulgaria,soy,2015,Harvested area,34.47,South Eastern Europe
Bulgaria,soy,2016,Harvested area,14.16,South Eastern Europe
Bulgaria,soy,2017,Harvested area,11.53,South Eastern Europe
Bulgaria,soy,2018,Harvested area,2.32,South Eastern Europe
Bulgaria,soy,2019,Harvested area,3.86,South Eastern Europe
Bulgaria,soy,2020,Harvested area,4.51,South Eastern Europe
Bulgaria,soy,2021,Harvested area,1.99,South Eastern Europe
Bulgaria,soy,2022,Harvested area,9.5,South Eastern Europe
Bulgaria,soy,2023,Harvested area,3.6,South Eastern Europe
Bulgaria,soy,2024,Harvested area,1.0,South Eastern Europe
Bulgaria,sunflower,2015,Harvested area,810.84,South Eastern Europe
Bulgaria,sunflower,2016,Harvested area,817.51,South Eastern Europe
Bulgaria,sunflower,2017,Harvested area,898.84,South Eastern Europe
Bulgaria,sunflower,2018,Harvested area,788.66,South Eastern Europe
Bulgaria,sunflower,2019,Harvested area,815.56,South Eastern Europe
Bulgaria,sunflower,2020,Harvested area,821.92,South Eastern Europe
Bulgaria,sunflower,2021,Harvested area,836.47,South Eastern Europe
Bulgaria,sunflower,2022,Harvested area,916.96,South Eastern Europe
Bulgaria,sunflower,2023,Harvested area,867.0,South Eastern Europe
Bulgaria,sunflower,2024,Harvested area,900.0,South Eastern Europe
Bulgaria,wine,2015,Harvested area,59.988,South Eastern Europe
Bulgaria,wine,2016,Harvested area,60.418000000000006,South Eastern Europe
Bulgaria,wine,2017,Harvested area,60.583,South Eastern Europe
Bulgaria,wine,2018,Harvested area,61.2505,South Eastern Europe
Bulgaria,wine,2019,Harvested area,60.8621,South Eastern Europe
Bulgaria,wine,2020,Harvested area,60.16239999999999,South Eastern Europe
Bulgaria,wine,2021,Harvested area,60.0771,South Eastern Europe
Bulgaria,wine,2022,Harvested area,60.023,South Eastern Europe
Bulgaria,wine,2023,Harvested area,60.0114,South Eastern Europe
Croatia,apples,2015,Harvested area,5.76,South Eastern Europe
Croatia,apples,2016,Harvested area,5.89,South Eastern Europe
Croatia,apples,2017,Harvested area,4.84,South Eastern Europe
Croatia,apples,2018,Harvested area,4.73,South Eastern Europe
Croatia,apples,2019,Harvested area,4.95,South Eastern Europe
Croatia,apples,2020,Harvested area,4.36,South Eastern Europe
Croatia,apples,2021,Harvested area,4.39,South Eastern Europe
Croatia,apples,2022,Harvested area,3.65,South Eastern Europe
Croatia,apples,2023,Harvested area,3.66,South Eastern Europe
Croatia,barley,2015,Harvested area,43.7,South Eastern Europe
Croatia,barley,2016,Harvested area,56.48,South Eastern Europe
Croatia,barley,2017,Harvested area,53.95,South Eastern Europe
Croatia,barley,2018,Harvested area,50.99,South Eastern Europe
Croatia,barley,2019,Harvested area,53.67,South Eastern Europe
Croatia,barley,2020,Harvested area,66.33,South Eastern Europe
Croatia,barley,2021,Harvested area,56.48,South Eastern Europe
Croatia,barley,2022,Harvested area,63.06999999999999,South Eastern Europe
Croatia,barley,2023,Harvested area,71.0,South Eastern Europe
Croatia,barley,2024,Harvested area,67.0,South Eastern Europe
Croatia,oats,2015,Harvested area,23.46,South Eastern Europe
Croatia,oats,2016,Harvested area,26.57,South Eastern Europe
Croatia,oats,2017,Harvested area,23.14,South Eastern Europe
Croatia,oats,2018,Harvested area,15.89,South Eastern Europe
Croatia,oats,2019,Harvested area,18.5,South Eastern Europe
Croatia,oats,2020,Harvested area,19.4,South Eastern Europe
Croatia,oats,2021,Harvested area,17.06,South Eastern Europe
Croatia,oats,2022,Harvested area,15.93,South Eastern Europe
Croatia,oats,2023,Harvested area,13.0,South Eastern Europe
Croatia,oats,2024,Harvested area,16.0,South Eastern Europe
Croatia,soy,2015,Harvested area,88.87,South Eastern Europe
Croatia,soy,2016,Harvested area,78.61,South Eastern Europe
Croatia,soy,2017,Harvested area,85.13,South Eastern Europe
Croatia,soy,2018,Harvested area,77.09,South Eastern Europe
Croatia,soy,2019,Harvested area,78.33,South Eastern Europe
Croatia,soy,2020,Harvested area,86.19,South Eastern Europe
Croatia,soy,2021,Harvested area,86.26,South Eastern Europe
Croatia,soy,2022,Harvested area,90.67,South Eastern Europe
Croatia,soy,2023,Harvested area,71.35,South Eastern Europe
Croatia,soy,2024,Harvested area,96.0,South Eastern Europe
Croatia,sunflower,2015,Harvested area,34.49,South Eastern Europe
Croatia,sunflower,2016,Harvested area,40.25,South Eastern Europe
Croatia,sunflower,2017,Harvested area,37.15,South Eastern Europe
Croatia,sunflower,2018,Harvested area,37.13,South Eastern Europe
Croatia,sunflower,2019,Harvested area,35.98,South Eastern Europe
Croatia,sunflower,2020,Harvested area,39.0,South Eastern Europe
Croatia,sunflower,2021,Harvested area,40.97,South Eastern Europe
Croatia,sunflower,2022,Harvested area,51.11,South Eastern Europe
Croatia,sunflower,2023,Harvested area,59.14,South Eastern Europe
Croatia,sunflower,2024,Harvested area,62.0,South Eastern Europe
Croatia,wine,2015,Harvested area,21.31005,South Eastern Europe
Croatia,wine,2016,Harvested area,20.85527,South Eastern Europe
Croatia,wine,2017,Harvested area,20.33897,South Eastern Europe
Croatia,wine,2018,Harvested area,20.48162,South Eastern Europe
Croatia,wine,2019,Harvested area,20.0806,South Eastern Europe
Croatia,wine,2020,Harvested area,19.65663,South Eastern Europe
Croatia,wine,2021,Harvested area,19.77544,South Eastern Europe
Croatia,wine,2022,Harvested area,19.81931,South Eastern Europe
Croatia,wine,2023,Harvested area,19.66323,South Eastern Europe
Cyprus,apples,2015,Harvested area,0.61,Southern Europe
Cyprus,apples,2016,Harvested area,0.53,Southern Europe
Cyprus,apples,2017,Harvested area,0.37,Southern Europe
Cyprus,apples,2018,Harvested area,0.37,Southern Europe
Cyprus,apples,2019,Harvested area,0.37,Southern Europe
Cyprus,apples,2020,Harvested area,0.41,Southern Europe
Cyprus,apples,2021,Harvested area,0.41,Southern Europe
Cyprus,apples,2022,Harvested area,0.4,Southern Europe
Cyprus,apples,2023,Harvested area,0.4,Southern Europe
Cyprus,barley,2015,Harvested area,20.56,Southern Europe
Cyprus,barley,2016,Harvested area,14.54,Southern Europe
Cyprus,barley,2017,Harvested area,10.95,Southern Europe
Cyprus,barley,2018,Harvested area,12.8,Southern Europe
Cyprus,barley,2019,Harvested area,11.58,Southern Europe
Cyprus,barley,2020,Harvested area,12.52,Southern Europe
Cyprus,barley,2021,Harvested area,12.83,Southern Europe
Cyprus,barley,2022,Harvested area,11.5,Southern Europe
Cyprus,barley,2023,Harvested area,11.5,Southern Europe
Cyprus,barley,2024,Harvested area,11.0,Southern Europe
Cyprus,oats,2015,Harvested area,0.32,Southern Europe
Cyprus,oats,2016,Harvested area,0.37,Southern Europe
Cyprus,oats,2017,Harvested area,0.25,Southern Europe
Cyprus,oats,2018,Harvested area,0.22,Southern Europe
Cyprus,oats,2019,Harvested area,0.22,Southern Europe
Cyprus,oats,2020,Harvested area,0.33,Southern Europe
Cyprus,oats,2021,Harvested area,0.3,Southern Europe
Cyprus,oats,2022,Harvested area,0.28,Southern Europe
Cyprus,oats,2023,Harvested area,0.3,Southern Europe
Cyprus,oats,2024,Harvested area,0.33,Southern Europe
Cyprus,soy,2015,Harvested area,0.0,Southern Europe
Cyprus,soy,2016,Harvested area,0.0,Southern Europe
Cyprus,soy,2017,Harvested area,0.0,Southern Europe
Cyprus,soy,2018,Harvested area,0.0,Southern Europe
Cyprus,soy,2019,Harvested area,0.0,Southern Europe
Cyprus,soy,2020,Harvested area,0.0,Southern Europe
Cyprus,soy,2021,Harvested area,0.0,Southern Europe
Cyprus,soy,2022,Harvested area,0.0,Southern Europe
Cyprus,soy,2023,Harvested area,0.0,Southern Europe
Cyprus,soy,2024,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2015,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2016,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2017,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2018,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2019,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2020,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2021,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2022,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2023,Harvested area,0.0,Southern Europe
Cyprus,sunflower,2024,Harvested area,0.0,Southern Europe
Cyprus,wine,2015,Harvested area,7.8061,Southern Europe
Cyprus,wine,2016,Harvested area,7.90812,Southern Europe
Cyprus,wine,2017,Harvested area,7.873149999999999,Southern Europe
Cyprus,wine,2018,Harvested area,7.71144,Southern Europe
Cyprus,wine,2019,Harvested area,7.67294,Southern Europe
Cyprus,wine,2020,Harvested area,7.97853,Southern Europe
Cyprus,wine,2021,Harvested area,7.49037,Southern Europe
Cyprus,wine,2022,Harvested area,7.08742,Southern Europe
Cyprus,wine,2023,Harvested area,7.1332,Southern Europe
Czech Republic,apples,2015,Harvested area,8.31,Central Europe
Czech Republic,apples,2016,Harvested area,7.49,Central Europe
Czech Republic,apples,2017,Harvested area,7.35,Central Europe
Czech Republic,apples,2018,Harvested area,7.25,Central Europe
Czech Republic,apples,2019,Harvested area,7.32,Central Europe
Czech Republic,apples,2020,Harvested area,7.19,Central Europe
Czech Republic,apples,2021,Harvested area,7.11,Central Europe
Czech Republic,apples,2022,Harvested area,7.01,Central Europe
Czech Republic,apples,2023,Harvested area,6.45,Central Europe
Czech Republic,barley,2015,Harvested area,365.9500000000001,Central Europe
Czech Republic,barley,2016,Harvested area,325.73,Central Europe
Czech Republic,barley,2017,Harvested area,327.71000000000004,Central Europe
Czech Republic,barley,2018,Harvested area,324.72,Central Europe
Czech Republic,barley,2019,Harvested area,319.59,Central Europe
Czech Republic,barley,2020,Harvested area,331.91,Central Europe
Czech Republic,barley,2021,Harvested area,326.75,Central Europe
Czech Republic,barley,2022,Harvested area,334.5,Central Europe
Czech Republic,barley,2023,Harvested area,321.13,Central Europe
Czech Republic,barley,2024,Harvested area,317.12,Central Europe
Czech Republic,oats,2015,Harvested area,42.4,Central Europe
Czech Republic,oats,2016,Harvested area,37.57,Central Europe
Czech Republic,oats,2017,Harvested area,44.07,Central Europe
Czech Republic,oats,2018,Harvested area,42.82,Central Europe
Czech Republic,oats,2019,Harvested area,42.53,Central Europe
Czech Republic,oats,2020,Harvested area,46.74,Central Europe
Czech Republic,oats,2021,Harvested area,57.72,Central Europe
Czech Republic,oats,2022,Harvested area,45.15,Central Europe
Czech Republic,oats,2023,Harvested area,43.0,Central Europe
Czech Republic,oats,2024,Harvested area,52.62,Central Europe
Czech Republic,soy,2015,Harvested area,12.31,Central Europe
Czech Republic,soy,2016,Harvested area,10.61,Central Europe
Czech Republic,soy,2017,Harvested area,15.34,Central Europe
Czech Republic,soy,2018,Harvested area,15.23,Central Europe
Czech Republic,soy,2019,Harvested area,12.24,Central Europe
Czech Republic,soy,2020,Harvested area,14.15,Central Europe
Czech Republic,soy,2021,Harvested area,19.68,Central Europe
Czech Republic,soy,2022,Harvested area,28.54,Central Europe
Czech Republic,soy,2023,Harvested area,26.51,Central Europe
Czech Republic,soy,2024,Harvested area,28.33,Central Europe
Czech Republic,sunflower,2015,Harvested area,15.45,Central Europe
Czech Republic,sunflower,2016,Harvested area,15.65,Central Europe
Czech Republic,sunflower,2017,Harvested area,21.6,Central Europe
Czech Republic,sunflower,2018,Harvested area,20.2,Central Europe
Czech Republic,sunflower,2019,Harvested area,11.83,Central Europe
Czech Republic,sunflower,2020,Harvested area,11.27,Central Europe
Czech Republic,sunflower,2021,Harvested area,17.98,Central Europe
Czech Republic,sunflower,2022,Harvested area,22.49,Central Europe
Czech Republic,sunflower,2023,Harvested area,19.8,Central Europe
Czech Republic,sunflower,2024,Harvested area,16.42,Central Europe
Czech Republic,wine,2015,Harvested area,17.673,Central Europe
Czech Republic,wine,2016,Harvested area,17.62256,Central Europe
Czech Republic,wine,2017,Harvested area,17.71983,Central Europe
Czech Republic,wine,2018,Harvested area,16.81114,Central Europe
Czech Republic,wine,2019,Harvested area,18.03776,Central Europe
Czech Republic,wine,2020,Harvested area,17.43409,Central Europe
Czech Republic,wine,2021,Harvested area,17.77597,Central Europe
Czech Republic,wine,2022,Harvested area,17.79815,Central Europe
Czech Republic,wine,2023,Harvested area,17.74024,Central Europe
Denmark,apples,2015,Harvested area,1.39,Northern Europe
Denmark,apples,2016,Harvested area,1.35,Northern Europe
Denmark,apples,2017,Harvested area,1.28,Northern Europe
Denmark,apples,2018,Harvested area,1.42,Northern Europe
Denmark,apples,2019,Harvested area,1.39,Northern Europe
Denmark,apples,2020,Harvested area,1.38,Northern Europe
Denmark,apples,2021,Harvested area,1.4,Northern Europe
Denmark,apples,2022,Harvested area,1.41,Northern Europe
Denmark,apples,2023,Harvested area,1.45,Northern Europe
Denmark,barley,2015,Harvested area,631.0,Northern Europe
Denmark,barley,2016,Harvested area,706.9,Northern Europe
Denmark,barley,2017,Harvested area,665.4,Northern Europe
Denmark,barley,2018,Harvested area,795.3,Northern Europe
Denmark,barley,2019,Harvested area,583.2,Northern Europe
Denmark,barley,2020,Harvested area,653.1999999999999,Northern Europe
Denmark,barley,2021,Harvested area,621.6,Northern Europe
Denmark,barley,2022,Harvested area,614.5,Northern Europe
Denmark,barley,2023,Harvested area,561.0,Northern Europe
Denmark,barley,2024,Harvested area,603.4,Northern Europe
Denmark,oats,2015,Harvested area,38.0,Northern Europe
Denmark,oats,2016,Harvested area,53.1,Northern Europe
Denmark,oats,2017,Harvested area,58.13,Northern Europe
Denmark,oats,2018,Harvested area,82.89,Northern Europe
Denmark,oats,2019,Harvested area,49.29,Northern Europe
Denmark,oats,2020,Harvested area,74.75,Northern Europe
Denmark,oats,2021,Harvested area,68.08,Northern Europe
Denmark,oats,2022,Harvested area,61.84,Northern Europe
Denmark,oats,2023,Harvested area,55.23,Northern Europe
Denmark,oats,2024,Harvested area,61.84,Northern Europe
Denmark,soy,2015,Harvested area,0.0,Northern Europe
Denmark,soy,2016,Harvested area,0.0,Northern Europe
Denmark,soy,2017,Harvested area,0.0,Northern Europe
Denmark,soy,2018,Harvested area,0.0,Northern Europe
Denmark,soy,2019,Harvested area,0.0,Northern Europe
Denmark,soy,2020,Harvested area,0.0,Northern Europe
Denmark,soy,2021,Harvested area,0.0,Northern Europe
Denmark,soy,2022,Harvested area,0.0,Northern Europe
Denmark,soy,2023,Harvested area,0.0,Northern Europe
Denmark,soy,2024,Harvested area,0.0,Northern Europe
Denmark,sunflower,2015,Harvested area,0.0,Northern Europe
Denmark,sunflower,2016,Harvested area,0.0,Northern Europe
Denmark,sunflower,2017,Harvested area,0.0,Northern Europe
Denmark,sunflower,2018,Harvested area,0.0,Northern Europe
Denmark,sunflower,2019,Harvested area,0.0,Northern Europe
Denmark,sunflower,2020,Harvested area,0.0,Northern Europe
Denmark,sunflower,2021,Harvested area,0.0,Northern Europe
Denmark,sunflower,2022,Harvested area,0.0,Northern Europe
Denmark,sunflower,2023,Harvested area,0.0,Northern Europe
Denmark,sunflower,2024,Harvested area,0.0,Northern Europe
Denmark,wine,2015,Harvested area,,Northern Europe
Denmark,wine,2016,Harvested area,,Northern Europe
Denmark,wine,2017,Harvested area,,Northern Europe
Denmark,wine,2018,Harvested area,,Northern Europe
Denmark,wine,2019,Harvested area,,Northern Europe
Denmark,wine,2020,Harvested area,,Northern Europe
Denmark,wine,2021,Harvested area,,Northern Europe
Denmark,wine,2022,Harvested area,,Northern Europe
Estonia,apples,2015,Harvested area,0.6,Northern Europe
Estonia,apples,2016,Harvested area,0.51,Northern Europe
Estonia,apples,2017,Harvested area,0.48,Northern Europe
Estonia,apples,2018,Harvested area,0.6,Northern Europe
Estonia,apples,2019,Harvested area,0.57,Northern Europe
Estonia,apples,2020,Harvested area,0.62,Northern Europe
Estonia,apples,2021,Harvested area,0.73,Northern Europe
Estonia,apples,2022,Harvested area,0.71,Northern Europe
Estonia,apples,2023,Harvested area,0.75,Northern Europe
Estonia,barley,2015,Harvested area,131.4,Northern Europe
Estonia,barley,2016,Harvested area,135.4,Northern Europe
Estonia,barley,2017,Harvested area,102.48,Northern Europe
Estonia,barley,2018,Harvested area,138.48,Northern Europe
Estonia,barley,2019,Harvested area,123.38,Northern Europe
Estonia,barley,2020,Harvested area,130.73000000000002,Northern Europe
Estonia,barley,2021,Harvested area,121.52,Northern Europe
Estonia,barley,2022,Harvested area,116.39,Northern Europe
Estonia,barley,2023,Harvested area,112.33,Northern Europe
Estonia,barley,2024,Harvested area,95.329,Northern Europe
Estonia,oats,2015,Harvested area,24.4,Northern Europe
Estonia,oats,2016,Harvested area,29.3,Northern Europe
Estonia,oats,2017,Harvested area,33.65,Northern Europe
Estonia,oats,2018,Harvested area,39.65,Northern Europe
Estonia,oats,2019,Harvested area,37.26,Northern Europe
Estonia,oats,2020,Harvested area,41.03,Northern Europe
Estonia,oats,2021,Harvested area,40.01,Northern Europe
Estonia,oats,2022,Harvested area,36.87,Northern Europe
Estonia,oats,2023,Harvested area,35.72,Northern Europe
Estonia,oats,2024,Harvested area,48.343,Northern Europe
Estonia,soy,2015,Harvested area,0.0,Northern Europe
Estonia,soy,2016,Harvested area,0.0,Northern Europe
Estonia,soy,2017,Harvested area,0.0,Northern Europe
Estonia,soy,2018,Harvested area,0.0,Northern Europe
Estonia,soy,2019,Harvested area,0.0,Northern Europe
Estonia,soy,2020,Harvested area,0.0,Northern Europe
Estonia,soy,2021,Harvested area,0.0,Northern Europe
Estonia,soy,2022,Harvested area,0.0,Northern Europe
Estonia,soy,2023,Harvested area,0.0,Northern Europe
Estonia,soy,2024,Harvested area,0.0,Northern Europe
Estonia,sunflower,2015,Harvested area,0.0,Northern Europe
Estonia,sunflower,2016,Harvested area,0.0,Northern Europe
Estonia,sunflower,2017,Harvested area,0.0,Northern Europe
Estonia,sunflower,2018,Harvested area,0.0,Northern Europe
Estonia,sunflower,2019,Harvested area,0.0,Northern Europe
Estonia,sunflower,2020,Harvested area,0.0,Northern Europe
Estonia,sunflower,2021,Harvested area,0.0,Northern Europe
Estonia,sunflower,2022,Harvested area,0.0,Northern Europe
Estonia,sunflower,2023,Harvested area,0.0,Northern Europe
Estonia,sunflower,2024,Harvested area,0.0,Northern Europe
Estonia,wine,2015,Harvested area,,Northern Europe
Estonia,wine,2016,Harvested area,,Northern Europe
Estonia,wine,2017,Harvested area,,Northern Europe
Estonia,wine,2018,Harvested area,,Northern Europe
Estonia,wine,2019,Harvested area,,Northern Europe
Estonia,wine,2020,Harvested area,,Northern Europe
Estonia,wine,2021,Harvested area,,Northern Europe
Estonia,wine,2022,Harvested area,,Northern Europe
Finland,apples,2015,Harvested area,0.63,Northern Europe
Finland,apples,2016,Harvested area,0.62,Northern Europe
Finland,apples,2017,Harvested area,0.63,Northern Europe
Finland,apples,2018,Harvested area,0.63,Northern Europe
Finland,apples,2019,Harvested area,0.65,Northern Europe
Finland,apples,2020,Harvested area,0.67,Northern Europe
Finland,apples,2021,Harvested area,0.62,Northern Europe
Finland,apples,2022,Harvested area,0.62,Northern Europe
Finland,apples,2023,Harvested area,0.66,Northern Europe
Finland,barley,2015,Harvested area,451.6,Northern Europe
Finland,barley,2016,Harvested area,435.9,Northern Europe
Finland,barley,2017,Harvested area,358.34,Northern Europe
Finland,barley,2018,Harvested area,405.1,Northern Europe
Finland,barley,2019,Harvested area,397.9,Northern Europe
Finland,barley,2020,Harvested area,392.1,Northern Europe
Finland,barley,2021,Harvested area,388.0,Northern Europe
Finland,barley,2022,Harvested area,368.97,Northern Europe
Finland,barley,2023,Harvested area,340.65,Northern Europe
Finland,barley,2024,Harvested area,320.8,Northern Europe
Finland,oats,2015,Harvested area,281.1,Northern Europe
Finland,oats,2016,Harvested area,304.9,Northern Europe
